date,zapotrzebowanie,produkcja,zapotrzebowanie,produkcja
1/1/2020,15.175376,13.366715,15.845476,14.405591
2/1/2020,14.149672,12.381036,13.860589,12.216963
3/1/2020,14.189382,12.01066,14.696666,12.72318
4/1/2020,12.092972,10.251654,13.407559,11.545758
5/1/2020,12.490328,10.418585,13.629752,11.725892
6/1/2020,12.572944,10.274231,13.389504,11.332782
7/1/2020,13.286822,11.036765,13.657668,11.589349
8/1/2020,13.40201,11.181237,13.571897,11.61757
9/1/2020,13.43628,11.484817,13.384757,11.407171
10/1/2020,,,14.583839,12.335485
11/1/2020,,,14.270338,12.159029
12/1/2020,,,14.606022,12.748698
