data,PSCMI1 [PLN/t],PSCMI2 [PLN/t]
8/1/2018,248.44,301.6
9/1/2018,245.38,309.5
10/1/2018,243.44,304.73
11/1/2018,250.78,297.24
12/1/2018,241.76,311.66
1/1/2019,254.77,300.91
2/1/2019,255.97,307.81
3/1/2019,258.14,304.62
4/1/2019,260.91,313.02
5/1/2019,256.52,325.23
6/1/2019,263.75,312.97
7/1/2019,260,313.8
8/1/2019,258.89,308.91
9/1/2019,263.36,308.22
10/1/2019,266.03,312.07
11/1/2019,266.35,307.08
12/1/2019,265.23,301.42
1/1/2020,268.32,298.77
2/1/2020,261.84,316.14
3/1/2020,262.49,327.21
4/1/2020,263.94,331.8
5/1/2020,267.21,315.2
6/1/2020,267.39,312.7
7/1/2020,,
8/1/2020,,
