;wolumen 'TGeBase' (MWh);onshore;import handlowy;onshore+import handlowy
0;0;0;0;0
10;0;0;0;0
20;5,5101;4,303;1,239965;5,542965
30;5,6016;4,394;1,12905;5,52305
40;5,8698;4,5;1,259963;5,759963
50;14,8399;14,073;5,366697;19,439697
60;166,7076;128,403;45,170622;173,573622
70;884,1165;790,087;233,638525;1023,725525
80;1333,3473;1091,554;376,2556;1467,8096
90;1399,3733;1150,359;434,137445;1584,496445
100;2469,8922;1855,379;824,545249;2679,924249
110;3352,0163;2583,878;1335,855186;3919,733186
120;6605,9832;4224,707;3227,887216;7452,594216
130;9357,9158;5061,483;4773,71102;9835,19402
140;8176,3535;4224,033;3939,46909;8163,50209
150;8647,1906;4758,999;4185,946984;8944,945984
160;9211,6446;4927,452;4801,085254;9728,537254
170;8526,1707;4180,411;4544,838283;8725,249283
180;9023,6214;4139,907;4731,970193;8871,877193
190;9413,2146;4072,759;5104,59444;9177,35344
200;8485,1399;3645,419;4671,949236;8317,368236
210;6780,3395;2812,217;3786,245892;6598,462892
220;6260,3574;2736,192;3515,072119;6251,264119
230;6832,8578;2789,808;3899,013473;6688,821473
240;6013,4291;2207,866;3347,287978;5555,153978
250;4969,0499;1594,431;2714,742674;4309,173674
260;3478,8416;910,587;1902,792135;2813,379135
270;2887,6453;771,222;1549,479798;2320,701798
280;2680,117;660,971;1447,237514;2108,208514
290;1925,537;442,188;1071,833137;1514,021137
300;1409,1205;262,361;759,580036;1021,941036
310;1256,1697;215,254;657,857015;873,111015
320;811,1944;124,77;418,937535;543,707535
330;609,1989;83,321;312,778729;396,099729
340;395,9991;51,594;200,806547;252,400547
350;293,2191;41,159;144,641329;185,800329
360;279,105;38,213;140,72829;178,94129
370;162,2947;22,367;78,837593;101,204593
380;216,0928;24,294;108,961291;133,255291
390;135,7054;18,835;62,974356;81,809356
400;128,6727;16,292;60,901401;77,193401
410;86,0926;9,48;39,829587;49,309587
420;102,4311;9,365;48,914915;58,279915
430;101,2595;13,691;45,904069;59,595069
440;49,2859;4,977;24,825437;29,802437
450;56,2396;6,438;27,653089;34,091089
460;60,8854;4,646;29,611747;34,257747
470;25,7634;2,856;15,239761;18,095761
480;15,096;1,938;6,938898;8,876898
490;24,9042;2,101;13,344043;15,445043
500;0;0;0;0
