;wolumen 'TGeBase' (MWh);onshore;import handlowy;onshore+import handlowy;
0;5,6016;4,394;-0,71569;3,67831;1,92329
10;5,8698;4,5;-0,539127;3,960873;1,908927
20;14,8399;14,073;-1,786993;12,286007;2,553893
30;71,2289;55,103;-4,805471;50,297529;20,931371
40;120,6864;86,855;-15,52018;71,33482;49,35158
50;92,3055;64,855;-9,558169;55,296831;37,008669
60;104,6826;67,074;-13,012476;54,061524;50,621076
70;156,9731;101,941;-10,971782;90,969218;66,003882
80;145,8407;96,863;-11,831035;85,031965;60,808735
90;226,0441;157,048;-2,893838;154,154162;71,889938
100;269,4327;172,551;19,248828;191,799828;77,632872
110;530,5731;301,378;39,816611;341,194611;189,378489
120;816,2163;468,417;88,75363;557,17063;259,04567
130;915,1156;589,442;126,089365;715,531365;199,584235
140;1159,9596;711,089;191,487289;902,576289;257,383311
150;1776,0171;1093,247;395,438334;1488,685334;287,331766
160;2361,9113;1295,966;719,604127;2015,570127;346,341173
170;2399,3604;1347,193;734,401397;2081,594397;317,766003
180;2325,1226;1183,744;784,525122;1968,269122;356,853478
190;2543,6569;1270,318;877,72313;2148,04113;395,61577
200;3331,8598;1593,399;1203,425707;2796,824707;535,035093
210;3254,3755;1264,997;1196,316114;2461,313114;793,062386
220;2825,3895;897,07;1037,11401;1934,18401;891,20549
230;1904,261;499,484;683,320233;1182,804233;721,456767
240;1638,337;395,223;553,000887;948,223887;690,113113
250;1615,735;353,491;599,073893;952,564893;663,170107
260;1017,6221;185,824;381,333518;567,157518;450,464582
270;682,9763;95,001;248,818582;343,819582;339,156718
280;661,5052;81,748;230,661004;312,409004;349,096196
290;287,9633;29,739;104,38028;134,11928;153,84402
300;160,0608;16,819;49,532558;66,351558;93,709242
310;78,7942;9,787;20,795654;30,582654;48,211546
320;62,8075;10,96;15,106528;26,066528;36,740972
330;39,6353;4,757;12,507206;17,264206;22,371094
340;37,2703;3,986;10,702722;14,688722;22,581578
350;35,0133;4,737;11,480317;16,217317;18,795983
360;19,1496;2,69;3,135243;5,825243;13,324357
370;15,1702;2,958;3,531937;6,489937;8,680263
380;15,5231;2,118;2,5402;4,6582;10,8649
390;0;0;0;0;0
400;10,9635;1,307;2,017404;3,324404;7,639096
410;5,633;0,031;1,074371;1,105371;4,527629
420;0;0;0;0;0
430;0;0;0;0;0
440;0;0;0;0;0
450;0;0;0;0;0
460;0;0;0;0;0
470;0;0;0;0;0
480;0;0;0;0;0
490;0;0;0;0;0
500;0;0;0;0;0
