date,OZE-A_TP,OZE-A_TP
7/1/2018,82.40,311.53
8/1/2018,108.52,311.56
9/1/2018,119.38,309.70
10/1/2018,125.99,305.28
11/1/2018,145.11,306.80
12/1/2018,115.99,301.95
1/1/2019,117.47,299.88
2/1/2019,116.40,299.71
3/1/2019,99.45,299.84
4/1/2019,121.34,300.49
5/1/2019,107.92,300.03
6/1/2019,120.30,297.97
7/1/2019,126.89,292.76
8/1/2019,128.02,299.06
9/1/2019,125.78,301.94
10/1/2019,131.04,302.56
11/1/2019,142.54,302.45
12/1/2019,128.94,300.53
1/1/2020,140.99,298.48
2/1/2020,139.03,299.71
3/1/2020,157.31,299.97
4/1/2020,134.21,300.05
5/1/2020,130.17,300.37
6/1/2020,132.33,299.81
7/1/2020,132.08,299.85
